distrito_local,distrito_roman,cabecera_2015,ganador_2015,ganador_2015_label,ganador_votos_2015,segundo_votos_2015,margen_votos_2015,margen_pct_2015,cabecera_2021,ganador_2021,ganador_2021_label,ganador_votos_2021,segundo_votos_2021,margen_votos_2021,margen_pct_2021,Octavio_PAN_PRI_PRD_PCP,Ricardo_PVEM_PT,Morena_candidata,MC_candidato,RSP_candidato,votacion_emitida,votos_nulos,bloque_2015,bloque_2021,cambio_ganador,cambio_bloque
1,I,CATORCE,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),29843,22146,7697,11.96,MATEHUALA,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),27130,26903,227,0.29,27130,26903,3495,12198,2369,78662,3071,PRI-PVEM-PNA,PAN-PRI-PRD-PCP,True,True
2,II,ARMADILLO DE LOS INFANTE,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),26917,18457,8460,14.49,SAN LUIS POTOSÍ,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),34147,29260,4887,6.14,34147,29260,2403,8364,1097,79575,1802,PRI-PVEM-PNA,PAN-PRI-PRD-PCP,True,True
3,III,CERRO DE SAN PEDRO,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),27129,17019,10110,14.81,SANTA MARÍA DEL RIO,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),42137,37915,4222,4.24,42137,37915,4109,6944,2836,99673,4258,PRI-PVEM-PNA,PAN-PRI-PRD-PCP,True,True
4,IV,AHUALULCO,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),31048,22860,8188,10.07,SALINAS,Ricardo_PVEM_PT,Ricardo (PVEM-PT),40529,27399,13130,15.32,27399,40529,3355,6035,2879,85716,3223,PRI-PVEM-PNA,PVEM-PT,True,True
5,V,SAN LUIS POTOSI,Calolo_PRD_PT_PCP,Calolo (PRD-PT-PCP),20297,16952,3345,5.34,SOLEDAD DE GRACIANO SÁNCHEZ,Ricardo_PVEM_PT,Ricardo (PVEM-PT),38595,18200,20395,29.36,18200,38595,1481,6131,1143,69461,1827,PRD-PT-PCP,PVEM-PT,True,True
6,VI,SAN LUIS POTOSI,Calolo_PRD_PT_PCP,Calolo (PRD-PT-PCP),22010,19268,2742,3.79,SAN LUIS POTOSÍ,Ricardo_PVEM_PT,Ricardo (PVEM-PT),38035,20401,17634,24.34,20401,38035,2147,6890,966,72437,1978,PRD-PT-PCP,PVEM-PT,True,True
7,VII,SAN LUIS POTOSI,PAN_Sonia_Mendoza,Sonia Mendoza (PAN),27909,26523,1386,1.61,SAN LUIS POTOSÍ,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),58211,20996,37215,40.04,58211,20996,2211,6826,1000,92949,1457,PAN,PAN-PRI-PRD-PCP,True,True
8,VIII,SAN LUIS POTOSI,Calolo_PRD_PT_PCP,Calolo (PRD-PT-PCP),22789,17472,5317,8.14,SAN LUIS POTOSÍ,Ricardo_PVEM_PT,Ricardo (PVEM-PT),35974,25552,10422,13.16,25552,35974,2759,8885,1536,79165,1879,PRD-PT-PCP,PVEM-PT,True,True
9,IX,SOLEDAD DE GRACIANO SANCHEZ,Calolo_PRD_PT_PCP,Calolo (PRD-PT-PCP),375,275,100,9.23,SOLEDAD DE GRACIANO SÁNCHEZ,Ricardo_PVEM_PT,Ricardo (PVEM-PT),45524,14024,31500,43.93,14024,45524,1987,5362,1020,71703,1598,PRD-PT-PCP,PVEM-PT,True,True
10,X,CIUDAD FERNANDEZ,PAN_Sonia_Mendoza,Sonia Mendoza (PAN),27835,24216,3619,5.51,RIOVERDE,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),30669,26608,4061,5.28,30669,26608,1996,11041,1286,76903,3127,PAN,PAN-PRI-PRD-PCP,True,True
11,XI,ALAQUINES,PAN_Sonia_Mendoza,Sonia Mendoza (PAN),29439,25871,3568,5.49,CARDENAS,Ricardo_PVEM_PT,Ricardo (PVEM-PT),29709,27359,2350,2.71,27359,29709,2166,12629,6664,86765,4568,PAN,PVEM-PT,True,True
12,XII,CIUDAD VALLES,PAN_Sonia_Mendoza,Sonia Mendoza (PAN),23828,23546,282,0.48,CIUDAD VALLES,Ricardo_PVEM_PT,Ricardo (PVEM-PT),21103,19376,1727,2.42,12559,21103,782,12009,19376,71355,1898,PAN,PVEM-PT,True,True
13,XIII,COXCATLAN,PAN_Sonia_Mendoza,Sonia Mendoza (PAN),31602,30420,1182,1.51,TAMUIN,RSP_candidato,RSP,32417,18586,13831,16.37,16615,18586,670,9638,32417,84486,3524,PAN,RSP,True,True
14,XIV,AQUISMON,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),33915,31406,2509,3.18,TANCANHUITZ,Octavio_PAN_PRI_PRD_PCP,Octavio (PAN-PRI-PRD-PCP),24292,21750,2542,2.92,24292,21750,833,12904,20961,86996,4218,PRI-PVEM-PNA,PAN-PRI-PRD-PCP,True,True
15,XV,SAN MARTIN CHALCHICUAUTLA,Carreras_PRI_PVEM_PNA,Carreras (PRI-PVEM-PNA),29141,26770,2371,3.19,TAMAZUNCHALE,Ricardo_PVEM_PT,Ricardo (PVEM-PT),26595,21267,5328,6.76,21267,26595,1108,13147,10304,78795,3795,PRI-PVEM-PNA,PVEM-PT,True,True
